neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Leichhardt,-33.8721191023371,151.164604976079,Entire home/apt,6,22,0.3,295,71
Waverley,-33.8901709041946,151.272114272889,Entire home/apt,2,2,0.08,0,450
Waverley,-33.8904791276019,151.271784887946,Entire home/apt,2,4,0.09,0,150
Sydney,-33.860795181407,151.205821009004,Entire home/apt,1,338,4.69,142,300
Waverley,-33.8899927808705,151.272085122122,Entire home/apt,1,51,0.7,133,190
Sydney,-33.8983105193679,151.185416686109,Entire home/apt,2,35,0.48,311,235
Waverley,-33.9022385257387,151.263934073897,Entire home/apt,7,3,0.06,18,800
Mosman,-33.8271463898235,151.24905369185,Entire home/apt,5,4,0.06,349,651
Woollahra,-33.8792567595659,151.229979616478,Entire home/apt,5,7,0.1,37,651
Manly,-33.8004153665612,151.287117148514,Entire home/apt,2,37,0.52,255,285
Manly,-33.7981075861275,151.289019637081,Private room,3,4,0.06,0,154
Sydney,-33.8871653280682,151.215939922924,Private room,2,48,0.65,17,148
Waverley,-33.8886341583705,151.276907800055,Entire home/apt,7,1,0.04,47,251
Marrickville,-33.8941596720117,151.169565008443,Entire home/apt,3,23,0.32,0,73
Sydney,-33.8905282275682,151.19611533632,Entire home/apt,20,5,0.07,365,300
Sydney,-33.892498749665,151.230329426324,Entire home/apt,28,9,0.15,286,100
Waverley,-33.8938731001966,151.261388887133,Entire home/apt,5,51,0.71,127,309
Pittwater,-33.5939495075858,151.32461731095,Entire home/apt,7,3,0.06,291,1250
Waverley,-33.9040876496293,151.266586783257,Entire home/apt,4,30,0.57,324,210
Waverley,-33.8820833176432,151.275375942827,Entire home/apt,3,3,0.04,155,500
Sydney,-33.8639080526957,151.226202727999,Entire home/apt,5,46,0.73,29,65
Sydney,-33.8730166652244,151.222603018565,Entire home/apt,2,311,4.28,284,136
Waverley,-33.8913742270379,151.26382245219,Entire home/apt,3,7,0.1,43,360
Waverley,-33.8995161777424,151.271439541954,Entire home/apt,2,91,1.28,218,145
Marrickville,-33.8964986059633,151.17779170697,Entire home/apt,2,5,0.07,253,251
Marrickville,-33.8912900765128,151.159596127761,Private room,1,0,,0,50
Mosman,-33.8163601245913,151.243699797126,Private room,1,2,0.04,364,80
Lane Cove,-33.807089004655,151.159405402684,Private room,2,12,0.16,0,100
Randwick,-33.9043999921152,151.22414405448,Private room,2,26,0.35,163,107
Waverley,-33.883241865322,151.280417026949,Entire home/apt,2,2,0.04,323,500
Manly,-33.8009666677553,151.286593317818,Entire home/apt,2,24,0.5,0,350
Mosman,-33.8264517080876,151.247865208982,Entire home/apt,3,134,1.85,290,190
Sydney,-33.8773796824789,151.212415990679,Entire home/apt,4,110,1.52,325,500
North Sydney,-33.8331230168194,151.212713862623,Entire home/apt,3,8,0.11,0,145
Hornsby,-33.6824771285348,151.102804663503,Private room,1,48,0.65,360,55
Sydney,-33.8685770561006,151.226057868492,Private room,3,27,0.37,365,300
Waverley,-33.8890697993984,151.260968482222,Entire home/apt,3,56,0.78,284,150
Sydney,-33.8717790345507,151.222838821975,Entire home/apt,2,189,2.72,236,140
Waverley,-33.8992233295652,151.253211737852,Entire home/apt,7,5,0.1,7,289
Woollahra,-33.879936965927,151.223874255589,Entire home/apt,2,17,0.24,34,350
